SKU 图片,SKU名称,SKU ID,价格,长(cm),宽(cm),高(cm),体积(cm3),重量(g),快递包装重量,跨境售价,建议英文SKU,编码含义
https://cbu01.alicdn.com/img/ibank/O1CN01oZJHhL1FSAsTU0I4Y_!!2178980485-0-cib.jpg,370型号单针单线,6136652027633,￥180.00,29.00 ,21.00 ,28.50 ,"17,356.50 ","3,750 ",4.00 ,1565.96 ,370-1N1T,1 Needle + 1 Thread
https://cbu01.alicdn.com/img/ibank/O1CN01XPrwXE1FSAsSD7gBx_!!2178980485-0-cib.jpg,370型号单针双线,6136652027634,￥290.00,29.00 ,21.00 ,28.50 ,"17,356.50 ","3,800 ",4.10 ,2053.19 ,370-1N2T,1 Needle + 2 Threads
https://cbu01.alicdn.com/img/ibank/O1CN01JyWjQd1FSAsYFnTPL_!!2178980485-0-cib.jpg,370型号双针双线,6136652027635,￥390.00,29.00 ,21.00 ,28.50 ,"173,565.00 ","3,900 ",4.20 ,2497.87 ,370-2N2T,2 Needles + 2 Threads
https://cbu01.alicdn.com/img/ibank/O1CN01HHkVWf1FSBEzio6Sv_!!2178980485-0-cib.jpg,GK9-型号电池容量1500毫安,6271135183168,￥235.00,29.40 ,21.50 ,28.50 ,"18,014.85 ","4,200 ",4.50 ,1895.74 ,GK9-BAT-1500MAH,Battery 1500mAh
https://cbu01.alicdn.com/img/ibank/O1CN01a61Iqr1FSBEzb7IF5_!!2178980485-0-cib.jpg,GK9型号电池容量2000毫安,6271135183166,￥260.00,29.40 ,21.50 ,28.50 ,"18,014.85 ","4,200 ",4.60 ,2021.28 ,GK9-BAT-2000MAH,Battery 2000mAh
https://cbu01.alicdn.com/img/ibank/O1CN01HHkVWf1FSBEzio6Sv_!!2178980485-0-cib.jpg,GK9型号电池容量2500毫安,6128212805109,￥280.00,29.40 ,21.50 ,28.50 ,"18,014.85 ","4,200 ",4.70 ,2125.53 ,GK9-BAT-2500MAH,Battery 2500mAh
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
