SKU 图片,SKU名称,SKU ID,价格,运费,价格+运费,建议英文SKU,包装长,包装宽,包装高,产品重量,包装后重量kg,跨境售价
https://cbu01.alicdn.com/img/ibank/O1CN01yT9WT428jrED00RIy_!!2213054447969-0-cib.jpg,工业级750W塑料焊枪（送两风嘴）,5709856299927,￥56.35,￥4.50,￥60.85,PWG-750W-2N,32cm,20cm,9cm,500,0.8,699
https://cbu01.alicdn.com/img/ibank/O1CN014wsnps28jrEAzlM0r_!!2213054447969-0-cib.jpg,工业级750W塑料焊枪（送两风嘴+发热芯）,5709856299928,￥63.10,￥4.50,￥67.60,PWG-750W-2N-HC,32cm,20cm,9cm,500,0.9,774
https://cbu01.alicdn.com/img/ibank/O1CN018xYiJc28jrE5Nq3tN_!!2213054447969-0-cib.jpg,工业级750W塑料焊枪（送两风嘴+发热芯+白色焊条10根）,5709856299929,￥63.45,￥4.50,￥67.95,PWG-750W-2N-HC-R10,32cm,20cm,9cm,500,1,806.3333333
https://cbu01.alicdn.com/img/ibank/O1CN01ttkYIP28jrECG8HbT_!!2213054447969-0-cib.jpg,工业级850W塑料焊枪（送两风嘴）,5709856299930,￥63.18,￥4.50,￥67.68,PWG-850W-2N,32cm,20cm,9cm,500,0.8,744.5333333
https://cbu01.alicdn.com/img/ibank/O1CN01wO5mK428jrE5Nq3yG_!!2213054447969-0-cib.jpg,工业级850W塑料焊枪（送两风嘴+发热芯）,5709856299931,￥69.93,￥4.50,￥74.43,PWG-850W-2N-HC,32cm,20cm,9cm,500,0.9,819.5333333
https://cbu01.alicdn.com/img/ibank/O1CN01Pu55fH28jrE9rXkfY_!!2213054447969-0-cib.jpg,工业级850W塑料焊枪（送两风嘴+发热芯+白色焊条10根）,5709856299932,￥70.20,￥4.50,￥74.70,PWG-850W-2N-HC-R10,32cm,20cm,9cm,500,1,851.3333333
https://cbu01.alicdn.com/img/ibank/O1CN01E8uRAl28jrED03f4h_!!2213054447969-0-cib.jpg,工业级1000W塑料焊枪（送两风嘴）,5709856299933,￥55.00,￥4.50,￥59.50,PWG-1000W-2N,30cm,22cm,10cm,560,6.9,2520
https://cbu01.alicdn.com/img/ibank/O1CN01VLsRiT28jrEEDXHJ0_!!2213054447969-0-cib.jpg,工业级1000W塑料焊枪（送两风嘴+发热芯）,5709856299934,￥61.00,￥4.50,￥65.50,PWG-1000W-2N-HC,30cm,22cm,10cm,560,1,790
https://cbu01.alicdn.com/img/ibank/O1CN01BcgthE28jrEAf3PHt_!!2213054447969-0-cib.jpg,工业级1000W塑料焊枪（送两风嘴+发热芯+白色焊条10根）,5709856299935,￥65.00,￥4.50,￥69.50,PWG-1000W-2N-HC-R10,30cm,22cm,10cm,560,1.1,846.6666667
https://cbu01.alicdn.com/img/ibank/O1CN01SX9R8r28jrELDbWSr_!!2213054447969-0-cib.jpg,2000W两档调温标准款（外观设计专利）官方标配,5972532608899,￥49.25,￥4.50,￥53.75,HG-2000W-2T-BASE,27,25,9,800,0.9,681.6666667
https://cbu01.alicdn.com/img/ibank/O1CN01tgfFKY28jrELzqtxb_!!2213054447969-0-cib.jpg,2000W两档调温标准款（外观设计专利）+送三件套,5972532608901,￥53.48,￥4.50,￥57.98,HG-2000W-2T-3PC,27,25,9.5,820,1,739.8666667
https://cbu01.alicdn.com/img/ibank/O1CN01pNOUnh28jrENayrso_!!2213054447969-0-cib.jpg,2000W两档调温标准款（外观设计专利）+送5件套,5972532608900,￥55.87,￥4.50,￥60.37,HG-2000W-2T-5PC,27,25,10,850,1.1,785.8
https://cbu01.alicdn.com/img/ibank/O1CN01DfPY7N28jrEQdM2ww_!!2213054447969-0-cib.jpg,2000W两档调温标准款（外观设计专利）+送5件套+收纳箱,5972532608904,￥66.65,￥4.50,￥71.15,HG-2000W-2T-5PC-CASE,32,29,11,1000,1.4,947.6666667
https://cbu01.alicdn.com/img/ibank/O1CN01u5H7Cu28jrENb08un_!!2213054447969-0-cib.jpg,2000W两档无极调温升级款（外观设计专利）官方标配,5972532608894,￥59.51,￥4.50,￥64.01,HG-2000W-VAR-BASE,27,25,9,500,0.9,750.0666667
https://cbu01.alicdn.com/img/ibank/O1CN01TYv2Ld28jrERaiytf_!!2213054447969-0-cib.jpg,2000W两档无极调温升级款（外观设计专利）+送5件套,5972532608895,￥65.60,￥4.50,￥70.10,HG-2000W-VAR-5PC,27,25,10,600,1,820.6666667
https://cbu01.alicdn.com/img/ibank/O1CN017eIV2G28jrEPwVnUs_!!2213054447969-0-cib.jpg,2000W两档无极调温升级款（外观设计专利）+送5件套+收纳箱,5972532608903,￥76.38,￥4.50,￥80.88,HG-2000W-VAR-5PC-CASE,32,29,11,800,1.4,1012.533333
https://cbu01.alicdn.com/img/ibank/O1CN01ZM1LXv28jrENb15Cm_!!2213054447969-0-cib.jpg,2500W数显精准调温旗舰款（外观设计专利）官方标配,5972532608896,￥93.35,￥4.50,￥97.85,HG-2500W-DIG-BASE,27,25,9.5,810,1,1005.666667
https://cbu01.alicdn.com/img/ibank/O1CN01VznOiD28jrENazwZT_!!2213054447969-0-cib.jpg,2500W数显精准调温旗舰款（外观设计专利）+送3件套,5972532608897,￥96.18,￥4.50,￥100.68,HG-2500W-DIG-3PC,27,25,10,850,1,1024.533333
https://cbu01.alicdn.com/img/ibank/O1CN01Gm9Zic28jrELztBVR_!!2213054447969-0-cib.jpg,2500W数显精准调温旗舰款（外观设计专利）+送5件套,5972532608898,￥101.61,￥4.50,￥106.11,HG-2500W-DIG-5PC,27,25,10.5,900,1.1,1090.733333
https://cbu01.alicdn.com/img/ibank/O1CN01VNiFNQ28jrENvpvho_!!2213054447969-0-cib.jpg,2500W数显精准调温旗舰款（外观设计专利）+送5件套+收纳箱,5972532608905,￥112.39,￥4.50,￥116.89,HG-2500W-DIG-5PC-CASE,32,29,11,1150,1.4,1252.6
https://cbu01.alicdn.com/img/ibank/O1CN01HeOogg1MDFbhbY3UC_!!2202331400-0-cib.jpg,德力西两档调温+2件套,6012617757163,￥56.00,￥5.00,￥61.00,HG-2000W-2STG-2PC,40,30,10,800,1,760
